lamp_id,count
5907,16
5908,16
5909,17
5910,20
5911,9
5912,10
5913,11
5914,18
5915,11
5916,12
5917,13
5918,14
5919,15
5920,13
5921,17
5922,10
5923,9
5924,12
5925,29
5926,12
5927,16
5928,23
5929,34
5930,32
5931,26
5932,22
5933,9
5934,9
5935,8
5936,16
5937,23
5938,27
5939,35
5940,36
5941,11
5942,32
5943,19
5944,4
5945,6
5946,15
5947,32
5948,5
5949,12
5950,21
5951,22
5952,20
5953,21
5954,28
5955,30
5956,23
5957,22
5958,22
5959,13
5960,45
5961,48
5962,46
5963,49
5964,5
5965,4
5966,50
5967,23
5968,39
5969,35
5970,25
5971,21
5972,25
5973,17
5974,6
5975,26
5976,27
5977,19
5978,25
5979,25
5980,19
5981,18
5982,10
5983,12
5984,10
5985,13
5986,16
5987,15
5988,10
5989,14
5990,16
5991,18
5992,12
5993,11
5994,12
5995,22
5996,24
5997,24
5998,14
5999,17
6000,19
6001,20
6002,19
6003,15
6004,12
6005,12
6006,20
6007,26
6008,27
6009,19
6010,17
6011,17
6012,17
6261,23
6013,17
6014,15
6015,15
6016,15
6017,16
6018,16
6019,13
6020,14
6021,13
6022,13
6023,16
6024,16
6025,13
6026,14
6027,14
6028,10
6029,15
6030,12
6031,13
6032,12
6033,7
6034,7
6035,7
6036,13
6037,14
6038,15
6039,32
6040,7
6041,19
6042,15
6186,20
6043,15
6044,19
6045,19
6046,23
6047,30
6048,13
6049,17
6050,15
6051,10
6052,11
6053,9
6054,31
6055,22
6056,17
6057,15
6058,15
6059,17
6060,17
6061,17
6062,15
6063,27
6064,21
6065,28
6066,5
6067,5
6068,5
6069,7
6070,5
6071,6
6072,10
6073,11
6074,11
6075,24
6076,25
6077,25
6078,27
6079,26
6080,23
6081,21
6082,6
6083,7
6084,9
6085,11
6086,12
6087,8
6088,9
6089,11
6090,10
6091,10
6092,10
6093,17
6094,17
6095,17
6096,15
6097,13
6098,19
6099,15
6100,15
6101,29
6102,22
6103,24
6104,26
6105,20
6106,22
6107,11
6108,19
6109,20
6110,28
6111,27
6112,24
6113,7
6114,6
6115,6
6116,36
6117,13
6118,16
6119,18
6120,8
6121,14
6122,18
6123,14
6124,15
6125,8
6126,9
6127,13
6128,11
6129,16
6130,8
6131,28
6132,18
6133,14
6134,10
6135,6
6136,15
6137,13
6138,12
6139,13
6140,11
6141,13
6142,13
6143,7
6144,12
6145,10
6146,15
6147,10
6148,11
6149,14
6150,12
6151,11
6152,12
6153,13
6154,14
6155,14
6156,8
6157,8
6158,12
6159,18
6160,18
6161,16
6162,11
6163,11
6164,10
6165,11
6166,8
6167,8
6168,10
6169,11
6170,20
6171,9
6172,7
6173,19
6174,16
6175,9
6176,11
6177,10
6178,10
6179,22
6180,20
6181,20
6182,18
6183,14
6184,14
6185,20
6187,20
6188,20
6189,19
6190,20
6191,18
6192,19
6193,17
6194,16
6195,16
6196,12
6197,15
6198,12
6199,8
6200,12
6201,21
6202,24
6203,24
6204,21
6205,36
6206,36
6207,31
6208,25
6209,19
6210,20
6211,23
6212,22
6213,19
6214,18
6215,9
6216,8
6217,6
6218,21
6219,46
6220,41
6221,42
6222,39
6223,19
6224,25
6225,22
6226,15
6227,13
6228,19
6229,25
6230,12
6231,17
6232,20
6233,32
6234,19
6235,1
6236,19
6237,23
6238,9
6239,19
6240,20
6241,4
6242,1
6243,11
6244,24
6245,20
6246,16
6247,33
6248,20
6249,17
6250,34
6251,9
6252,20
6253,23
6254,15
6255,49
6256,23
6257,32
6258,11
6259,21
6260,11
6262,24
6263,15
6264,16
6265,19
6266,18
6267,35
6268,17
6269,19
6270,19
6271,15
6272,5
6273,21
6274,24
6275,36
6276,26
6277,31
6278,23
6279,23
6280,12
6281,13
6282,30
6283,29
6284,9
6285,40
6286,28
6287,30
6288,3
6289,17
6290,19
6291,17
6292,20
6293,23
6294,18
6295,25
6296,41
6297,42
6298,23
6299,39
6300,16
6301,40
6302,13
6303,40
6304,11
6305,12
6306,12
6307,37
6308,39
6309,40
6310,12
6311,5
6312,3
6313,3
6314,3
6315,3
6316,3
6317,4
6318,3
6319,3
6320,11
6321,42
6322,43
6323,43
6324,44
6325,26
6326,6
6327,47
6328,50
6329,40
6330,32
